,v,a,z,t,model,ntrials,npp,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,tau,nreps,full_speed,output_folder
0,0.949,0.991,0.978,0.993,,,,,,,,,,,,,,,
1,0.959,0.996,0.968,0.996,,,,,,,,,,,,,,,
2,0.981,0.994,0.958,0.99,,,,,,,,,,,,,,,
3,0.985,0.989,0.961,0.992,,,,,,,,,,,,,,,
4,0.979,0.993,0.974,0.991,,,,,,,,,,,,,,,
5,0.965,0.992,0.976,0.989,,,,,,,,,,,,,,,
6,0.984,0.994,0.969,0.995,,,,,,,,,,,,,,,
7,0.975,0.989,0.965,0.992,,,,,,,,,,,,,,,
8,0.978,0.992,0.973,0.992,,,,,,,,,,,,,,,
9,0.979,0.987,0.969,0.994,,,,,,,,,,,,,,,
10,0.98,0.99,0.972,0.992,,,,,,,,,,,,,,,
11,0.959,0.991,0.97,0.993,,,,,,,,,,,,,,,
12,0.981,0.987,0.978,0.991,,,,,,,,,,,,,,,
13,0.954,0.988,0.965,0.992,,,,,,,,,,,,,,,
14,0.98,0.993,0.953,0.995,,,,,,,,,,,,,,,
15,0.978,0.993,0.974,0.994,,,,,,,,,,,,,,,
16,0.978,0.994,0.963,0.989,,,,,,,,,,,,,,,
17,0.989,0.991,0.961,0.987,,,,,,,,,,,,,,,
18,0.978,0.994,0.979,0.988,,,,,,,,,,,,,,,
19,0.983,0.991,0.978,0.99,,,,,,,,,,,,,,,
20,0.977,0.992,0.968,0.996,,,,,,,,,,,,,,,
21,0.983,0.991,0.977,0.991,,,,,,,,,,,,,,,
22,0.965,0.994,0.979,0.997,,,,,,,,,,,,,,,
23,0.978,0.994,0.971,0.994,,,,,,,,,,,,,,,
24,0.976,0.992,0.976,0.992,,,,,,,,,,,,,,,
25,0.975,0.994,0.97,0.996,,,,,,,,,,,,,,,
26,0.97,0.995,0.98,0.994,,,,,,,,,,,,,,,
27,0.96,0.995,0.975,0.994,,,,,,,,,,,,,,,
28,0.975,0.992,0.952,0.99,,,,,,,,,,,,,,,
29,0.979,0.992,0.972,0.995,,,,,,,,,,,,,,,
30,0.956,0.995,0.983,0.996,,,,,,,,,,,,,,,
31,0.963,0.99,0.964,0.991,,,,,,,,,,,,,,,
32,0.983,0.988,0.979,0.994,,,,,,,,,,,,,,,
33,0.969,0.996,0.963,0.991,,,,,,,,,,,,,,,
34,0.972,0.989,0.971,0.99,,,,,,,,,,,,,,,
35,0.973,0.989,0.983,0.996,,,,,,,,,,,,,,,
36,0.966,0.995,0.959,0.991,,,,,,,,,,,,,,,
37,0.972,0.994,0.973,0.994,,,,,,,,,,,,,,,
38,0.979,0.994,0.98,0.991,,,,,,,,,,,,,,,
39,0.98,0.991,0.986,0.995,,,,,,,,,,,,,,,
40,0.956,0.996,0.979,0.996,,,,,,,,,,,,,,,
41,0.928,0.995,0.962,0.995,,,,,,,,,,,,,,,
42,0.97,0.995,0.969,0.989,,,,,,,,,,,,,,,
43,0.968,0.992,0.952,0.989,,,,,,,,,,,,,,,
44,0.982,0.989,0.974,0.995,,,,,,,,,,,,,,,
45,0.965,0.993,0.966,0.993,,,,,,,,,,,,,,,
46,0.984,0.994,0.968,0.997,,,,,,,,,,,,,,,
47,0.964,0.992,0.972,0.996,,,,,,,,,,,,,,,
48,0.974,0.993,0.993,0.996,,,,,,,,,,,,,,,
49,0.968,0.996,0.981,0.995,,,,,,,,,,,,,,,
50,0.948,0.994,0.979,0.99,,,,,,,,,,,,,,,
51,0.963,0.993,0.975,0.994,,,,,,,,,,,,,,,
52,0.985,0.994,0.953,0.995,,,,,,,,,,,,,,,
53,0.988,0.993,0.976,0.994,,,,,,,,,,,,,,,
54,0.982,0.984,0.968,0.992,,,,,,,,,,,,,,,
55,0.97,0.993,0.981,0.992,,,,,,,,,,,,,,,
56,0.975,0.992,0.964,0.989,,,,,,,,,,,,,,,
57,0.984,0.988,0.968,0.988,,,,,,,,,,,,,,,
58,0.981,0.989,0.965,0.989,,,,,,,,,,,,,,,
59,0.968,0.989,0.95,0.993,,,,,,,,,,,,,,,
60,0.967,0.995,0.953,0.984,,,,,,,,,,,,,,,
61,0.968,0.992,0.98,0.993,,,,,,,,,,,,,,,
62,0.973,0.988,0.976,0.987,,,,,,,,,,,,,,,
63,0.974,0.987,0.97,0.989,,,,,,,,,,,,,,,
64,0.97,0.993,0.969,0.993,,,,,,,,,,,,,,,
65,0.973,0.992,0.979,0.993,,,,,,,,,,,,,,,
66,0.98,0.989,0.987,0.991,,,,,,,,,,,,,,,
67,0.975,0.991,0.971,0.989,,,,,,,,,,,,,,,
68,0.985,0.986,0.963,0.991,,,,,,,,,,,,,,,
69,0.968,0.994,0.978,0.997,,,,,,,,,,,,,,,
70,0.974,0.996,0.979,0.993,,,,,,,,,,,,,,,
